 Name ; Landfläche 2018 [m²] ; Landfläche 2025 [m²] ; Differenz der Landflächen [m²] ; S2_1 
 Alexandra_Bank ; 374,400 ; 2,080,300 ; 1,705,900 ;nein
 Alison_Reef ; 125,100 ; 49,100 ;-76,000 ;nein
 Amboyna_Cay ; 13,100 ; 34,900 ; 21,800 ;nein
 Antelope_Reef ; 385,000 ; 38,900 ;-346,100 ;nein
 Ardasier_Reef ; 2,964,800 ; 5,500 ;-2,959,300 ;nein
 Barque_Canada_Reef ; 5,352,600 ; 262,500 ;-5,090,100 ;nein
 Bombay_Reef ; 723,000 ; 1,966,900 ; 1,243,900 ;nein
 Central_Reef ; 4,363,100 ; 367,800 ;-3,995,300 ;ja
 Collins_Reef ; 252,700 ; 100 ;-252,600 ;ja
 Commodore_Reef ; 18,500 ; 12,400 ;-6,100 ;nein
 Cornwallis_South_Reef ; 27,400 ; 120,600 ; 93,200 ;nein
 Cuarteron_Reef ; 168,600 ; 597,000 ; 428,400 ;nein
 Discovery_Great_Reef ; -   ; 4,100 ; 4,100 ;nein
 Drummond_Island ; 608,100 ; 221,000 ;-387,100 ;nein
 Duncan_Islands ; 748,100 ; 734,800 ;-13,300 ;nein
 East_Reef ; 200 ; 865,800 ; 865,600 ;nein
 Erica_Reef ; 14,472,800 ; 12,000 ;-14,460,800 ;nein
 Fiery_Cross_Reef ; 500,400 ; 3,139,300 ; 2,638,900 ;nein
 Flat_Island ; 473,400 ; 11,300 ;-462,100 ;ja
 Gaven_Reefs ; 200,700 ; 132,800 ;-67,900 ;ja
 Grainger_Bank ; 131,300 ; 1,207,400 ; 1,076,100 ;nein
 Grierson_Reef ; 319,700 ; 120,100 ;-199,600 ;ja
 Hughes_Reef ; 154,200 ; 81,300 ;-72,900 ;ja
 Investigator_Shoal ; 32,159,100 ; 657,300 ;-31,501,800 ;nein
 Itu_Aba_Island ; 927,700 ; 484,300 ;-443,400 ;ja
 Johnson_Reef ; 1,846,500 ; 110,300 ;-1,736,200 ;ja
 Ladd_Reef ; 1,400 ; 582,500 ; 581,100 ;nein
 Lansdowne_Reef ; 86,600 ; 40,800 ;-45,800 ;nein
 Lincoln_Islands ; 1,701,300 ; 1,852,600 ; 151,300 ;nein
 Loaita_Cay ; 1,881,400 ; 11,700 ;-1,869,700 ;ja
 Loaita_Island ; 264,700 ; 74,400 ;-190,300 ;ja
 Mariveles_Reef ; 59,237,700 ; 15,800 ;-59,221,900 ;nein
 Middle_Island ; 134,500 ; 131,000 ;-3,500 ;ja
 Mischief_Reef ; 5,826,000 ; 6,165,500 ; 339,500 ;ja
 Money_Island ; 1,031,000 ; 422,600 ;-608,400 ;ja
 Namyit_Island ; 2,026,700 ; 754,000 ;-1,272,700 ;ja
 Nanshan_Island ; 454,900 ; 74,500 ;-380,400 ;ja
 North_Island ; 125,600 ; 486,900 ; 361,300 ;nein
 North_Reef ; 1,673,900 ; 1,500 ;-1,672,400 ;nein
 Northeast_Cay ; 1,138,500 ; 164,800 ;-973,700 ;nein
 Observation_Bank ; 162,700 ; 20,900 ;-141,800 ;nein
 Pattle_Island ; 266,700 ; 325,500 ; 58,800 ;ja
 Pearson_Reef ; 2,769,700 ; 741,500 ;-2,028,200 ;ja
 Petley_Reef ; 291,600 ; 97,600 ;-194,000 ;ja
 Prince_Consort_Bank ; 1,174,400 ; 1,859,800 ; 685,400 ;nein
 Prince_of_Wales_Bank ; 4,000 ; 534,200 ; 530,200 ;nein
 Quanfu_Island ; 124,500 ; 34,900 ;-89,600 ;ja
 Rifleman_Bank ; 1,701,700 ; 36,700 ;-1,665,000 ;nein
 Robert_Island ; 358,700 ; 335,700 ;-23,000 ;ja
 Sand_Cay ; 133,300 ; 403,500 ; 270,200 ;ja
 Scarborough_Shoal ; 1,934,200 ; 12,268,100 ; 10,333,900 ;nein
 Second_Thomas_Shoal ; 236,300 ; 3,965,000 ; 3,728,700 ;nein
 Sin_Cowe_Island ; 464,100 ; 135,300 ;-328,800 ;ja
 South_Island ; 120,900 ; 126,200 ; 5,300 ;ja
 South_Reef ; 3,552,000 ; 694,200 ;-2,857,800 ;ja
 South_Sand ; 61,700 ; 61,400 ;-300 ;ja
 Southwest_Cay ; 1,048,300 ; 197,700 ;-850,600 ;nein
 Spratly_Island ; -   ; 886,400 ; 886,400 ;nein
 Subi_Reef ; 258,500 ; 298,100 ; 39,600 ;FEHLER
 Swallow_Reef ; 3,207,100 ; 20,200 ;-3,186,900 ;ja
 Tennent_Reef ; 3,545,300 ; 679,600 ;-2,865,700 ;ja
 Thitu_Island ; 43,784,800 ; 833,100 ;-42,951,700 ;ja
 Tree_Island ; 388,600 ; 295,500 ;-93,100 ;ja
 Triton_Island ; 1,300 ; 1,283,700 ; 1,282,400 ;nein
 Vanguard_Bank ; 830,000 ; 431,100 ;-398,900 ;nein
 West_Reef ; 1,100 ; 589,600 ; 588,500 ;nein
 West_Sand ; 600,900 ; 243,600 ;-357,300 ;ja
 West_York_Island ; 235,800 ; 198,700 ;-37,100 ;ja
 Woody_Island ; 2,997,700 ; 3,306,900 ; 309,200 ;ja
 Yagong_Island ; 31,500 ; 10,300 ;-21,200 ;ja
