id;island;island_group;landmass;man_made_structures;airstrip;country;area_of_reclamation_acres;new coordinates;north;south;west;east;notes;aoi
1;Cuarteron Reef;Spratly;yes;yes;no;China;56;8.865344/112.830745;8.89;8.84;112.8;112.87;;112.8, 8.84, 112.87, 8.89
2;Fiery Cross Reef;Spratly;yes;yes;yes;China;677;9.547555/112.887711;9.58;9.53;112.86;112.92;;112.86, 9.53, 112.92, 9.58
3;Gaven Reefs;Spratly;yes;yes;no;China;34;10.207364/114.223043;10.22;10.19;114.21;114.24;;114.21, 10.19, 114.24, 10.22
4;Hughes Reef;Spratly;yes;yes;no;China;19;9.909151/114.496382;9.927;9.9;114.48;114.51;;114.48, 9.9, 114.51, 9.927
5;Johnson Reef;Spratly;yes;yes;no;China;27;9.715188/114.287042;9.75;9.69;114.26;114.3;;114.26, 9.69, 114.3, 9.75
6;Mischief Reef;Spratly;yes;yes;yes;China;1379;9.900000/115.533333;9.95;9.85;115.47;115.59;;115.47, 9.85, 115.59, 9.95
7;Subi Reef;Spratly;yes;yes;yes;China;976;10.917222/114.083333;10.96;10.89;114.045;114.11;;114.045, 10.89, 114.11, 10.96
8;Antelope Reef;Paracel;yes;yes;no;China;;16.446955/111.606508;16.495;16.43;111.56;111.62;;111.56, 16.43, 111.62, 16.495
9;Drummond Island;Paracel;yes;yes;no;China;;16.463836/111.741689;16.555;16.45;111.73;111.79;;111.73, 16.45, 111.79, 16.555
10;Duncan Islands;Paracel;yes;yes;no;China;;16.449880/111.710318;16.47;16.43;111.68;111.725;;111.68, 16.43, 111.725, 16.47
11;Lincoln Island;Paracel;yes;yes;no;China;;16.665866/112.731810;16.69;16.65;112.7;112.75;;112.7, 16.65, 112.75, 16.69
12;Middle Island;Paracel;yes;no;no;China;;16.955349/112.324262;16.959;16.951;112.3198;112.3287;;112.3198, 16.951, 112.3287, 16.959
13;Money Island;Paracel;yes;yes;no;China;;16.447550/111.507440;16.47;16.425;111.48;111.55;;111.48, 16.425, 111.55, 16.47
14;North Island;Paracel;yes;yes;no;China;;16.963678/112.309583;16.973;15.9565;112.298;112.319;;112.298, 15.9565, 112.319, 16.973
15;North Reef;Paracel;yes;no;no;China;;17.084167/111.500000;17.13;17.04;111.42;111.58;;111.42, 17.04, 111.58, 17.13
16;Observation Bank;Paracel;yes;yes;no;China;;16.579615/111.704371;16.605;16.56;111.69;111.73;;111.69, 16.56, 111.73, 16.605
17;Pattle Island;Paracel;yes;yes;no;China;;16.534339/111.607419;16.555;16.521;111.59;111.632;;111.59, 16.521, 111.632, 16.555
18;Quanfu Island;Paracel;yes;maybe;no;China;;16.574285/111.672424;16.59;16.55;111.637;111.683;;111.637, 16.55, 111.683, 16.59
19;Robert Island;Paracel;yes;no;no;China;;16.505336/111.585500;16.522;16.498;111.57;111.6;;111.57, 16.498, 111.6, 16.522
20;South Island;Paracel;yes;no;no;China;;16.946795/112.334233;16.951;16.941;112.3295;112.339;;112.3295, 16.941, 112.339, 16.951
21;South Sand;Paracel;yes;no;no;China;;16.929571/112.345683;16.9315;16.9262;112.342;112.35;;112.342, 16.9262, 112.35, 16.9315
22;Tree Island;Paracel;yes;yes;no;China;;16.979403/112.269843;17.005;16.955;112.24;112.2955;;112.24, 16.955, 112.2955, 17.005
23;Triton Island;Paracel;yes;maybe;no;China;;15.783333/111.200278;15.81;15.765;111.17;111.24;;111.17, 15.765, 111.24, 15.81
24;West Sand;Paracel;yes;yes;no;China;;16.977777/112.211737;17.005;16.955;112.19;112.239;;112.19, 16.955, 112.239, 17.005
25;Woody Island;Paracel;yes;yes;yes;China;;16.833333/112.333889;16.86;16.81;112.31;112.37;;112.31, 16.81, 112.37, 16.86
26;Yagong Island;Paracel;yes;yes;no;China;;16.566544/111.686407;16.569;16.564;111.68;111.688;;111.68, 16.564, 111.688, 16.569
27;Scarborough Shoal;Paracel;yes;no;no;China;;15.134722/117.751389;15.25;15.08;117.66;117.87;;117.66, 15.08, 117.87, 15.25
28;Bombay Reef;Paracel;barely;yes;no;China;;16.033889/112.501111;16.13;15.98;112.4;112.62;single lighthouse;112.4, 15.98, 112.62, 16.13
29;Ardasier Reef;Spratly;yes;yes;no;Malaysia;;7.616667/113.933889;7.64;7.6;113.91;113.97;;113.91, 7.6, 113.97, 7.64
30;Erica Reef;Spratly;yes;yes;no;Malaysia;;8.106741/114.134106;8.12;8.09;114.11;114.15;;114.11, 8.09, 114.15, 8.12
31;Investigator Shoal;Spratly;yes;yes;no;Malaysia;;8.116667/114.683889;8.21;8.04;114.48;114.82;;114.48, 8.04, 114.82, 8.21
32;Mariveles Reef;Spratly;yes;yes;no;Malaysia;;7.966944/113.916667;8.02;7.92;113.86;113.97;;113.86, 7.92, 113.97, 8.02
33;Swallow Reef;Spratly;yes;yes;yes;Malaysia;;7.373406/113.845408;7.4;7.35;113.77;113.86;;113.77, 7.35, 113.86, 7.4
34;Commodore Reef;Spratly;no;yes;no;Philippines;;8.362348/115.214246;8.41;8.33;115.15;115.29;;115.15, 8.33, 115.29, 8.41
35;Flat Island;Spratly;yes;yes;no;Philippines;;10.816614/115.823289;10.84;10.8;115.8;115.84;;115.8, 10.8, 115.84, 10.84
36;Loaita Cay;Spratly;yes;yes;no;Philippines;;10.728366/114.352554;10.74;10.685;114.3;114.37;;114.3, 10.685, 114.37, 10.74
37;Loaita Island;Spratly;yes;maybe;no;Philippines;;10.667699/114.423632;10.69;10.65;114.4;114.44;;114.4, 10.65, 114.44, 10.69
38;Nanshan Island;Spratly;yes;yes;no;Philippines;;10.732576/115.802974;10.75;10.72;115.79;115.82;;115.79, 10.72, 115.82, 10.75
39;Northeast Cay;Spratly;yes;yes;no;Philippines;;11.452778/114.354722;11.47;11.44;114.34;114.37;;114.34, 11.44, 114.37, 11.47
40;Second Thomas Shoal;Spratly;yes;yes;no;Philippines;;9.718056/115.851389;9.82;9.64;115.82;115.91;man-made structure is a grounded ship;115.82, 9.64, 115.91, 9.82
41;Thitu Island;Spratly;yes;yes;yes;Philippines;;11.052854/114.284723;11.12;11.04;114.27;114.3;;114.27, 11.04, 114.3, 11.12
42;West York Island;Spratly;yes;yes;no;Philippines;;11.082065/115.023860;11.11;11.06;115.01;115.04;;115.01, 11.06, 115.04, 11.11
43;Itu Aba Island;Spratly;yes;yes;yes;Taiwan;;10.376389/114.364444;10.4;10.36;114.34;114.385;;114.34, 10.36, 114.385, 10.4
44;Alison Reef;Spratly;yes;yes;no;Vietnam;;8.800000/113.983611;8.86;8.75;113.86;114.08;;113.86, 8.75, 114.08, 8.86
45;Amboyna Cay;Spratly;yes;yes;no;Vietnam;;7.891852/112.921213;7.91;7.88;112.91;112.94;;112.91, 7.88, 112.94, 7.91
46;Barque Canada Reef;Spratly;yes;yes;yes;Vietnam;;8.167500/113.301111;8.31;8.04;113.17;113.4;;113.17, 8.04, 113.4, 8.31
47;Central Reef;Spratly;yes;yes;no;Vietnam;4;8.931291/112.353305;8.95;8.91;112.32;112.37;;112.32, 8.91, 112.37, 8.95
48;Collins Reef;Spratly;yes;yes;no;Vietnam;;9.774190/114.256020;9.79;9.75;114.24;114.28;;114.24, 9.75, 114.28, 9.79
49;Cornwallis South Reef;Spratly;yes;yes;no;Vietnam;4;8.701111/114.183333;8.77;8.66;114.14;114.22;;114.14, 8.66, 114.22, 8.77
50;Discovery Great Reef;Spratly;yes;yes;possibly in construction;Vietnam;;10.050000/113.850000;10.16;9.97;113.81;113.89;;113.81, 9.97, 113.89, 10.16
51;East Reef;Spratly;yes;yes;no;Vietnam;;8.817500/112.600000;8.86;8.79;112.51;112.68;;112.51, 8.79, 112.68, 8.86
52;Grierson Reef;Spratly;yes;yes;no;Vietnam;;9.902399/114.563987;9.92;9.89;114.55;114.57;;114.55, 9.89, 114.57, 9.92
53;Ladd Reef;Spratly;yes;yes;likely in construction;Vietnam;;8.669991/111.673824;8.69;8.64;111.62;111.71;;111.62, 8.64, 111.71, 8.69
54;Lansdowne Reef;Spratly;yes;yes;no;Vietnam;;9.779376/114.370373;9.79;9.77;114.35;114.39;;114.35, 9.77, 114.39, 9.79
55;Namyit Island;Spratly;yes;yes;no;Vietnam;;10.181634/114.363690;10.2;10.16;114.33;114.39;;114.33, 10.16, 114.39, 10.2
56;Pearson Reef;Spratly;yes;yes;likely in construction;Vietnam;6;8.975452/113.708330;8.99;8.93;113.62;113.72;;113.62, 8.93, 113.72, 8.99
57;Petley Reef;Spratly;yes;yes;no;Vietnam;;10.410583/114.587667;10.43;10.38;114.55;114.61;;114.55, 10.38, 114.61, 10.43
58;Sand Cay;Spratly;yes;yes;no;Vietnam;9;10.376658/114.478730;10.4;10.36;114.46;114.5;;114.46, 10.36, 114.5, 10.4
59;Sin Cowe Island;Spratly;yes;yes;no;Vietnam;26;9.885452/114.329884;9.9;9.87;114.315;114.345;;114.315, 9.87, 114.345, 9.9
60;South Reef;Spratly;yes;yes;possibly in construction;Vietnam;;11.387176/114.298949;11.41;11.36;114.28;114.32;;114.28, 11.36, 114.32, 11.41
61;Southwest Cay;Spratly;yes;yes;no;Vietnam;7;11.429054/114.331525;11.44;11.41;114.31;114.34;;114.31, 11.41, 114.34, 11.44
62;Spratly Island;Spratly;yes;yes;yes;Vietnam;37;8.645401/111.920757;8.66;8.63;111.9;111.93;;111.9, 8.63, 111.93, 8.66
63;Tennent Reef;Spratly;yes;yes;likely in construction;Vietnam;;8.856994/114.666877;8.89;8.82;114.61;114.7;;114.61, 8.82, 114.7, 8.89
64;West Reef;Spratly;yes;yes;no;Vietnam;71;8.867349/112.256452;8.91;8.82;112.16;112.28;;112.16, 8.82, 112.28, 8.91
65;Alexandra Bank;DK1 Station;no;yes;no;Vietnam;;8.016737/110.616650;8.12;8;110.58;110.64;heliport;110.58, 8, 110.64, 8.12
66;Grainger Bank;DK1 Station;no;yes;no;Vietnam;;7.784215/110.499989;7.84;7.76;110.46;110.52;heliport;110.46, 7.76, 110.52, 7.84
67;Prince Consort Bank;DK1 Station;no;yes;no;Vietnam;;7.883371/110.000000;7.91;7.86;109.96;110.01;heliport;109.96, 7.86, 110.01, 7.91
68;Prince of Wales Bank;DK1 Station;no;yes;no;Vietnam;;8.117271/110.516917;8.14;8.09;110.5;110.53;heliport;110.5, 8.09, 110.53, 8.14
69;Rifleman Bank;DK1 Station;no;yes;no;Vietnam;;7.768544/111.650213;7.8;7.74;111.58;111.67;heliport;111.58, 7.74, 111.67, 7.8
70;Vanguard Bank;DK1 Station;no;yes;no;Vietnam;;7.501143/109.651373;7.55;7.49;109.62;109.66;heliport;109.62, 7.49, 109.66, 7.55
